id,filename,region,visual_theme,category,duration_sec,candidate_tier,priority_review,visual_note
V0022,DSCF5747_高品質 1080p HD.mp4,安芸,装飾・工芸体験,交流・体験,9.009,,False,
V0023,DSCF5748_高品質 1080p HD.mp4,安芸,装飾・工芸体験,資料,4.004,,False,
V0024,DSCF5749_高品質 1080p HD.mp4,安芸,装飾・工芸体験,製品・交流・体験,16.016,,False,
V0025,DSCF5761_高品質 1080p HD.mp4,安芸,装飾・工芸体験,交流・体験,19.019,,False,
V0026,DSCF5762_高品質 1080p HD.mp4,安芸,装飾・工芸体験,手仕事・交流・体験,5.005,,False,
V0027,DSCF5766_高品質 1080p HD.mp4,安芸,装飾・工芸体験,手仕事・素材加工・交流・体験,18.018,B,False,色の異なる粒状素材を手で扱う寄り。体験の導入候補
V0028,DSCF5767_高品質 1080p HD.mp4,安芸,装飾・工芸体験,手仕事・交流・体験,32.032,,False,
V0029,DSCF5791_高品質 1080p HD.mp4,安芸,装飾・工芸体験,地域風景・交流・体験,7.007,,False,
V0030,DSCF5811_高品質 1080p HD.mp4,安芸,装飾・工芸体験,交流・体験,17.017,,False,
V0031,DSCF5837_高品質 1080p HD.mp4,安芸,装飾・工芸体験,手仕事・交流・体験,33.033,B,False,細かなパーツを扱う手元。参加できるものづくり
V0032,DSCF5838_高品質 1080p HD.mp4,安芸,装飾・工芸体験,手仕事・交流・体験,23.023,,False,
V0033,DSCF5845_高品質 1080p HD.mp4,安芸,液体調合体験,地域風景・交流・体験,12.012,,False,
V0034,DSCF5860_高品質 1080p HD.mp4,安芸,液体調合体験,製品・地域風景,20.02,,False,
V0035,DSCF5867_高品質 1080p HD.mp4,安芸,液体調合体験,交流・体験,7.007,B,False,水面に触れる手元。体験と触感
V0036,DSCF5869_高品質 1080p HD.mp4,安芸,液体調合体験,製品・素材加工,16.016,B,False,水が滴る円形容器の寄り。水音は要試聴
V0037,DSCF5887_高品質 1080p HD.mp4,安芸,液体調合体験,人物・交流・体験,12.012,,False,
V0038,DSCF5893_高品質 1080p HD.mp4,安芸,液体調合体験,人物・交流・体験,21.021,,False,
V0039,DSCF5894_高品質 1080p HD.mp4,安芸,液体調合体験,人物・交流・体験,9.009,,False,
V0040,DSCF5908_高品質 1080p HD.mp4,安芸,液体調合体験,手仕事・交流・体験,22.022,B,True,漏斗で容器に注ぐ手元。体験の工程
V0041,DSCF5919_高品質 1080p HD.mp4,安芸,液体調合体験,手仕事・交流・体験,19.019,,False,
V0042,DSCF5924_高品質 1080p HD.mp4,安芸,液体調合体験,手仕事・交流・体験,18.018,,False,
V0043,DSCF5935_高品質 1080p HD.mp4,安芸,液体調合体験,製品・交流・体験,17.017,,False,
V0044,DSCF5967_高品質 1080p HD.mp4,安芸,地域風景・告知（業種対象外）,地域風景,12.012,,False,
V0045,DSCF5968_高品質 1080p HD.mp4,安芸,業種要確認,人物・地域風景,2.002,,False,
V0046,DSCF5976_高品質 1080p HD.mp4,安芸,地域風景・告知（業種対象外）,地域風景,13.013,,False,
V0047,DSCF5981_高品質 1080p HD.mp4,安芸,器・工芸,工場全景・交流・体験,6.006,,False,
V0048,DSCF5982_高品質 1080p HD.mp4,安芸,器・工芸,人物・交流・体験,8.008,,False,
V0049,DSCF5994_高品質 1080p HD.mp4,安芸,器・工芸,製品・手仕事,17.017,A,False,器と注ぐ手元。製品の質感と人の関わり
V0050,DSCF5995_高品質 1080p HD.mp4,安芸,器・工芸,人物・交流・体験,8.008,,False,
V0051,DSCF5996_高品質 1080p HD.mp4,安芸,器・工芸,製品・手仕事,9.009,,False,
V0052,DSCF6003_高品質 1080p HD.mp4,安芸,器・工芸,交流・体験,8.008,,False,
V0053,DSCF6004_高品質 1080p HD.mp4,安芸,器・工芸,人物・交流・体験,5.005,,False,
V0054,DSCF6015_高品質 1080p HD.mp4,安芸,器・工芸,交流・体験,7.007,,False,
V0055,DSCF6025_高品質 1080p HD.mp4,安芸,器・工芸,製品・手仕事,8.008,A,False,器に注がれる液体の寄り。注ぐ音は要試聴
V0056,DSCF6053_高品質 1080p HD.mp4,安芸,業種要確認,交流・体験,6.006,,False,
V0057,DSCF6054_高品質 1080p HD.mp4,安芸,業種要確認,人物・交流・体験,11.011,,False,
V0058,DSCF6055_高品質 1080p HD.mp4,安芸,業種要確認,交流・体験,6.006,,False,
V0059,DSCF6056_高品質 1080p HD.mp4,安芸,業種要確認,交流・体験,7.007,,False,
V0060,DSCF6057_高品質 1080p HD.mp4,安芸,業種要確認,交流・体験,7.007,,False,
V0061,DSCF6058_高品質 1080p HD.mp4,安芸,業種要確認,交流・体験,7.007,,False,
V0062,DSCF6060_高品質 1080p HD.mp4,安芸,業種要確認,人物・交流・体験,13.013,,False,
V0063,DSCF6071_高品質 1080p HD.mp4,安芸,業種要確認,交流・体験,6.006,,False,
V0064,DSCF6076_高品質 1080p HD.mp4,安芸,業種要確認,人物・交流・体験,7.007,,False,
V0065,DSCF6101_高品質 1080p HD.mp4,安芸,業種要確認,人物・交流・体験,13.013,,False,
V0066,DSCF6126_高品質 1080p HD.mp4,安芸,業種要確認,交流・体験,12.012,,False,
V0067,DSCF6145_高品質 1080p HD.mp4,安芸,業種要確認,人物・交流・体験,29.029,,False,
V0068,DSCF6151_高品質 1080p HD.mp4,安芸,業種要確認,人物・交流・体験,11.011,,False,
V0069,DSCF6172_高品質 1080p HD.mp4,安芸,業種要確認,交流・体験,8.008,,False,
V0070,DSCF6210_高品質 1080p HD.mp4,安芸,業種要確認,交流・体験,4.004,,False,
V0071,DSCF6214_高品質 1080p HD.mp4,安芸,業種要確認,交流・体験,16.016,,False,
V0072,DSCF2588_高品質 1080p HD.mp4,安芸,業種要確認,地域風景・交流・体験,5.005,,False,
V0073,DSCF2589_高品質 1080p HD.mp4,安芸,業種要確認,地域風景・交流・体験,4.004,,False,
V0074,DSCF2652_高品質 1080p HD.mp4,安芸,業種要確認,交流・体験,5.005,,False,
V0075,DSCF2704_高品質 1080p HD.mp4,安芸,地域風景・告知（業種対象外）,地域風景,7.007,,False,
V0076,DSCF2705_高品質 1080p HD.mp4,安芸,地域風景・告知（業種対象外）,地域風景,6.006,,False,
V0077,DSCF2706_高品質 1080p HD.mp4,安芸,工芸製品,製品・交流・体験,10.01,,False,
V0078,DSCF2707_高品質 1080p HD.mp4,安芸,工芸製品,製品・交流・体験,8.008,,False,
V0079,DSCF6215_高品質 1080p HD.mp4,安芸,地域風景・告知（業種対象外）,地域風景,6.006,,False,
V0080,DSCF6219_高品質 1080p HD.mp4,安芸,地域風景・告知（業種対象外）,地域風景,6.006,,False,
V0081,DSCF6220_高品質 1080p HD.mp4,安芸,地域風景・告知（業種対象外）,地域風景,6.006,,False,
V0082,DSCF6222_高品質 1080p HD.mp4,安芸,地域風景・告知（業種対象外）,地域風景,10.01,,False,
V0083,DSCF6229_高品質 1080p HD.mp4,安芸,装飾・工芸,交流・体験,9.009,,False,
V0084,DSCF6230_高品質 1080p HD.mp4,安芸,装飾・工芸,人物・交流・体験,8.008,,False,
V0085,DSCF6235_高品質 1080p HD.mp4,安芸,装飾・工芸,人物・交流・体験,5.005,,False,
V0086,DSCF6236_高品質 1080p HD.mp4,安芸,装飾・工芸,人物・交流・体験,14.014,,False,
V0087,DSCF6242_高品質 1080p HD.mp4,安芸,装飾・工芸,手仕事・交流・体験,34.034,,False,
V0088,DSCF6245_高品質 1080p HD.mp4,安芸,装飾・工芸,手仕事・交流・体験,9.009,,False,
V0089,DSCF6246_高品質 1080p HD.mp4,安芸,装飾・工芸,手仕事・交流・体験,22.022,,False,
V0090,DSCF6250_高品質 1080p HD.mp4,安芸,装飾・工芸,手仕事・交流・体験,28.028,,False,
V0091,DSCF6251_高品質 1080p HD.mp4,安芸,装飾・工芸,製品・交流・体験,4.004,,False,
V0092,DSCF6253_高品質 1080p HD.mp4,安芸,装飾・工芸,製品・交流・体験,10.01,,False,
V0093,DSCF6254_高品質 1080p HD.mp4,安芸,装飾・工芸,手仕事・素材加工・交流・体験,9.009,B,False,金色の素材を道具に貼るような手元。素材加工の体験
V0094,DSCF6257_高品質 1080p HD.mp4,安芸,装飾・工芸,手仕事・交流・体験,16.016,,False,
V0095,DSCF6258_高品質 1080p HD.mp4,安芸,装飾・工芸,手仕事・素材加工・交流・体験,27.027,B,True,金色の細長い製品を拭き整える手元。光る質感
V0096,DSCF6259_高品質 1080p HD.mp4,安芸,装飾・工芸,手仕事・素材加工・交流・体験,28.028,,False,
V0097,DSCF6264_高品質 1080p HD.mp4,安芸,装飾・工芸,交流・体験,8.008,,False,
V0098,DSCF6267_高品質 1080p HD.mp4,安芸,装飾・工芸,手仕事・交流・体験,12.012,,False,
V0099,DSCF6272_高品質 1080p HD.mp4,安芸,装飾・工芸,交流・体験,12.012,B,False,器と注ぐ動作、参加者の関わり。体験の締め候補
V0100,DSCF6273_高品質 1080p HD.mp4,安芸,装飾・工芸,人物・交流・体験,13.013,,False,
V0101,DSCF6282_高品質 1080p HD.mp4,安芸,装飾・工芸,手仕事・交流・体験,4.004,,False,
V0102,DSCF6284_高品質 1080p HD.mp4,安芸,装飾・工芸,手仕事・交流・体験,13.013,,False,
V0103,DSCF6285_高品質 1080p HD.mp4,安芸,装飾・工芸,手仕事・交流・体験,22.022,,False,
V0104,DSCF6291_高品質 1080p HD.mp4,安芸,装飾・工芸,手仕事・素材加工・交流・体験,13.013,B,False,道具で素材に押し当てる手元。加工の瞬間と打音の可能性（要試聴）
V0105,DSCF6300_高品質 1080p HD.mp4,安芸,装飾・工芸,手仕事・交流・体験,16.016,B,False,細い棒を組み合わせる手元。組立の体験
V0106,DSCF6301_高品質 1080p HD.mp4,安芸,装飾・工芸,交流・体験,6.006,,False,
V0107,DSCF6314_高品質 1080p HD.mp4,安芸,装飾・工芸,手仕事・交流・体験,13.013,,False,
V0108,DSCF6315_高品質 1080p HD.mp4,安芸,装飾・工芸,手仕事・交流・体験,21.021,,False,
V0109,DSCF6334_高品質 1080p HD.mp4,安芸,装飾・工芸,手仕事・交流・体験,15.015,,False,
V0110,DSCF6358_高品質 1080p HD.mp4,安芸,装飾・工芸,手仕事・交流・体験,11.011,,False,
V0111,DSCF6359_高品質 1080p HD.mp4,安芸,装飾・工芸,手仕事・交流・体験,15.015,B,False,小さなパーツをつなぐ手仕事の寄り
V0112,DSCF6362_高品質 1080p HD.mp4,安芸,装飾・工芸,人物・交流・体験,9.009,,False,
V0113,DSCF6387_高品質 1080p HD.mp4,安芸,装飾・工芸,手仕事・交流・体験,26.026,,False,
V0114,DSCF6389_高品質 1080p HD.mp4,安芸,装飾・工芸,交流・体験,6.006,,False,
V0115,DSCF6391_高品質 1080p HD.mp4,安芸,地域風景・告知（業種対象外）,地域風景,6.006,,False,
V0116,DSCF6395_高品質 1080p HD.mp4,安芸,装飾・工芸,人物・交流・体験,8.008,,False,
V0117,DSCF6397_高品質 1080p HD.mp4,安芸,装飾・工芸,手仕事・交流・体験,4.004,,False,
V0118,DSCF6398_高品質 1080p HD.mp4,安芸,装飾・工芸,交流・体験,8.008,,False,
V0119,DSCF6399_高品質 1080p HD.mp4,安芸,装飾・工芸,資料・交流・体験,3.003,,False,
V0120,DSCF6400_高品質 1080p HD.mp4,安芸,装飾・工芸,資料・交流・体験,8.008,,False,
V0121,DSCF6405_高品質 1080p HD.mp4,安芸,装飾・工芸,手仕事・交流・体験,8.008,,False,
V0122,DSCF6406_高品質 1080p HD.mp4,安芸,装飾・工芸,手仕事・交流・体験,8.008,,False,
V0123,DSCF6409_高品質 1080p HD.mp4,安芸,装飾・工芸,手仕事・交流・体験,47.047,,False,
V0124,DSCF6410_高品質 1080p HD.mp4,安芸,装飾・工芸,手仕事・交流・体験,13.013,,False,
V0125,DSCF6417_高品質 1080p HD.mp4,安芸,装飾・工芸,交流・体験,4.004,,False,
V0126,DSCF6418_高品質 1080p HD.mp4,安芸,装飾・工芸,製品・交流・体験,4.004,,False,
V0127,DSCF6423_高品質 1080p HD.mp4,安芸,装飾・工芸,手仕事・交流・体験,18.018,,False,
V0128,DSCF6435_高品質 1080p HD.mp4,安芸,装飾・工芸,手仕事・交流・体験,15.015,,False,
V0129,DSCF6436_高品質 1080p HD.mp4,安芸,装飾・工芸,手仕事・交流・体験,10.01,,False,
V0130,DSCF6440_高品質 1080p HD.mp4,安芸,木工体験,手仕事・交流・体験,34.034,B,True,立体の幾何学形を組む手元。完成までの変化の候補
V0131,DSCF6441_高品質 1080p HD.mp4,安芸,装飾・工芸,手仕事・交流・体験,39.039,,False,
V0132,DSCF6452_高品質 1080p HD.mp4,安芸,装飾・工芸,人物・交流・体験,8.008,,False,
V0133,DSCF6457_高品質 1080p HD.mp4,安芸,装飾・工芸,人物・交流・体験,8.008,,False,
V0134,DSCF6462_高品質 1080p HD.mp4,安芸,装飾・工芸,人物・交流・体験,4.004,,False,
V0135,DSCF6484_高品質 1080p HD.mp4,安芸,装飾・工芸,地域風景・交流・体験,12.012,B,False,SFV表記の旗と街を歩く人。イベントの場所感
V0136,DSCF2923_高品質 1080p HD.mp4,安芸,装飾・工芸,交流・体験,11.011,,False,
V0137,DSCF2924_高品質 1080p HD.mp4,安芸,装飾・工芸,交流・体験,6.006,,False,
V0138,DSCF2925_高品質 1080p HD.mp4,安芸,装飾・工芸,手仕事・交流・体験,7.007,,False,
V0139,DSCF2951_高品質 1080p HD.mp4,安芸,装飾・工芸,製品・交流・体験,12.012,,False,
V0140,DSCF2952_高品質 1080p HD.mp4,安芸,装飾・工芸,製品・交流・体験,23.023,,False,
V0141,DSCF2953_高品質 1080p HD.mp4,安芸,業種要確認,製品・交流・体験,7.007,,False,
V0142,DSCF3075_高品質 1080p HD.mp4,安芸,業種要確認,人物・交流・体験,27.027,,False,
V0143,DSCF0410_高品質 1080p HD.mp4,備後,業種要確認,工場全景・交流・体験,7.007,,False,
V0144,DSCF0411_高品質 1080p HD.mp4,備後,業種要確認,工場全景・交流・体験,7.007,,False,
V0145,DSCF0413_高品質 1080p HD.mp4,備後,業種要確認,資料・交流・体験,8.008,,False,
V0146,DSCF0441_高品質 1080p HD.mp4,備後,金属加工・設備,機械・工場全景,13.013,,False,
V0147,DSCF0470_高品質 1080p HD.mp4,備後,業種要確認,交流・体験,12.012,,False,
V0148,DSCF0471_高品質 1080p HD.mp4,備後,業種要確認,交流・体験,8.008,,False,
V0149,DSCF2596_高品質 1080p HD.mp4,備後,木工・家具,工場全景,6.006,,False,
V0150,DSCF2600_高品質 1080p HD.mp4,備後,木工・家具,手仕事・交流・体験,7.007,B,False,木製部品を押さえて取り付ける手元。組立工程
V0151,DSCF2601_高品質 1080p HD.mp4,備後,木工・家具,手仕事・交流・体験,13.013,,False,
V0152,DSCF2610_高品質 1080p HD.mp4,備後,木工・家具,手仕事・素材加工・交流・体験,30.03,B,False,木に塗料を塗る手元。素材の表面変化
V0153,DSCF2611_高品質 1080p HD.mp4,備後,木工・家具,手仕事・交流・体験,28.028,,False,
V0154,DSCF2619_高品質 1080p HD.mp4,備後,木工・家具,機械・手仕事・素材加工・交流・体験,6.006,A,False,電動工具を木面に当てる寄り。機械音候補（要試聴）
V0155,DSCF2620_高品質 1080p HD.mp4,備後,木工・家具,手仕事・交流・体験,9.009,B,False,木製品を組み立てる手元。体験として使いやすい
V0156,DSCF2623_高品質 1080p HD.mp4,備後,木工・家具,交流・体験,17.017,,False,
V0157,DSCF2634_高品質 1080p HD.mp4,備後,木工・家具,人物・製品・交流・体験,6.006,B,False,完成した椅子を見せる笑顔。工程後の体験・成果
V0158,DSCF2635_高品質 1080p HD.mp4,備後,木工・家具,製品,4.004,,False,
V0159,DSCF2649_高品質 1080p HD.mp4,備後,業種要確認,交流・体験,16.016,,False,
V0160,DSCF2657_高品質 1080p HD.mp4,備後,業種要確認,機械・交流・体験,8.008,,False,
V0161,DSCF2658_高品質 1080p HD.mp4,備後,業種要確認,機械・交流・体験,9.009,,False,
V0162,DSCF2659_高品質 1080p HD.mp4,備後,業種要確認,機械・交流・体験,20.02,,False,
V0163,DSCF2673_高品質 1080p HD.mp4,備後,業種要確認,人物・交流・体験,6.006,,False,
V0164,DSCF2674_高品質 1080p HD.mp4,備後,業種要確認,人物・交流・体験,7.007,,False,
V0165,DSCF2679_高品質 1080p HD.mp4,備後,業種要確認,交流・体験,5.005,,False,
V0166,DSCF2680_高品質 1080p HD.mp4,備後,業種要確認,人物・交流・体験,11.011,,False,
V0167,DSCF2681_高品質 1080p HD.mp4,備後,業種要確認,人物・交流・体験,10.01,,False,
V0168,DSCF2688_高品質 1080p HD.mp4,備後,業種要確認,人物・交流・体験,9.009,,False,
V0169,DSCF2689_高品質 1080p HD.mp4,備後,業種要確認,人物・交流・体験,23.023,,False,
V0170,DSCF2694_高品質 1080p HD.mp4,備後,業種要確認,人物・交流・体験,8.008,,False,
V0171,DSCF2695_高品質 1080p HD.mp4,備後,業種要確認,人物・交流・体験,9.009,,False,
V0172,DSCF2710_高品質 1080p HD.mp4,備後,板材加工・設備,手仕事・機械,12.012,A,False,板状素材を器具で持ち上げる作業。手と機械の連携
V0173,DSCF2725_高品質 1080p HD.mp4,備後,板材加工・設備,製品・手仕事,14.014,A,False,積み重なった板状製品を扱う作業。工場の物量
V0174,DSCF2726_高品質 1080p HD.mp4,備後,板材加工・設備,製品・手仕事,10.01,,False,
V0175,DSCF2727_高品質 1080p HD.mp4,備後,印刷・看板（映像テーマ）,機械・素材加工,13.013,A,True,大型プリンターのヘッド移動。看板・印刷の機械動作候補
V0176,DSCF2728_高品質 1080p HD.mp4,備後,板材加工・設備,機械・素材加工,9.009,,False,
V0177,DSCF2730_高品質 1080p HD.mp4,備後,板材加工・設備,手仕事・機械・素材加工,10.01,A,False,光を当てる器具と板材の作業。機械と手元の見せ場
V0178,DSCF2734_高品質 1080p HD.mp4,備後,板材加工・設備,手仕事・機械・交流・体験,19.019,,False,
V0179,DSCF2735_高品質 1080p HD.mp4,備後,板材加工・設備,機械・交流・体験,12.012,,False,
V0180,DSCF2742_高品質 1080p HD.mp4,備後,業種要確認,交流・体験,25.025,,False,
V0181,DSCF2747_高品質 1080p HD.mp4,備後,業種要確認,人物・交流・体験,7.007,,False,
V0182,DSCF2748_高品質 1080p HD.mp4,備後,業種要確認,製品,13.013,,False,
V0183,DSCF2763_高品質 1080p HD.mp4,備後,業種要確認,製品・資料,15.015,,False,
V0184,DSCF2766_高品質 1080p HD.mp4,備後,地域風景・告知（業種対象外）,資料・地域風景,7.007,,False,
V0185,DSCF2767_高品質 1080p HD.mp4,備後,業種要確認,人物・交流・体験,6.006,,False,
V0186,DSCF2768_高品質 1080p HD.mp4,備後,業種要確認,手仕事・交流・体験,18.018,,False,
V0187,DSCF2776_高品質 1080p HD.mp4,備後,業種要確認,地域風景・資料,9.009,,False,
V0188,DSCF2781_高品質 1080p HD.mp4,備後,地域風景・告知（業種対象外）,地域風景,4.004,,False,
V0189,DSCF2782_高品質 1080p HD.mp4,備後,木工・工芸,機械・工場全景,8.008,,False,
V0190,DSCF2787_高品質 1080p HD.mp4,備後,木工・工芸,交流・体験,4.004,,False,
V0191,DSCF2792_高品質 1080p HD.mp4,備後,木工・工芸,製品,4.004,,False,
V0192,DSCF2793_高品質 1080p HD.mp4,備後,木工・工芸,機械・工場全景,7.007,A,False,工場内に並ぶ機械。作業音・環境音の候補（要試聴）
V0193,DSCF2794_高品質 1080p HD.mp4,備後,木工・工芸,手仕事・製品,13.013,A,False,重なる木製部品を扱う作業。工程の量感
V0194,DSCF2796_高品質 1080p HD.mp4,備後,木工・工芸,機械・手仕事,8.008,A,False,道具で素材表面を処理する職人の手元。作業音は要試聴
V0195,DSCF2804_高品質 1080p HD.mp4,備後,木工・工芸,手仕事・製品,25.025,A,False,木製の箱状部品を組み合わせる寄り。精密な手仕事
V0196,DSCF2805_高品質 1080p HD.mp4,備後,木工・工芸,手仕事・製品,29.029,,False,
V0197,DSCF2817_高品質 1080p HD.mp4,備後,木工・工芸,人物・工場全景,6.006,,False,
V0198,DSCF2818_高品質 1080p HD.mp4,備後,木工・工芸,手仕事・素材加工,18.018,,False,
V0199,DSCF2825_高品質 1080p HD.mp4,備後,木工・工芸,手仕事・素材加工,27.027,A,False,木面を磨く手元。擦れる音の候補（要試聴）
V0200,DSCF2826_高品質 1080p HD.mp4,備後,木工・工芸,手仕事・素材加工,14.014,,False,
V0201,DSCF2827_高品質 1080p HD.mp4,備後,木工・工芸,製品,12.012,,False,
V0202,DSCF2835_高品質 1080p HD.mp4,備後,木工・工芸,製品,6.006,,False,
V0203,DSCF2836_高品質 1080p HD.mp4,備後,木工・工芸,製品,3.003,,False,
V0204,DSCF2842_高品質 1080p HD.mp4,備後,木工・工芸,機械・手仕事・素材加工,13.013,A,False,木材を加工機に当てる手元。素材加工の見せ場
V0205,DSCF2846_高品質 1080p HD.mp4,備後,木工・工芸,手仕事・製品,39.039,,False,
V0206,DSCF2847_高品質 1080p HD.mp4,備後,木工・工芸,手仕事・製品,42.042,,False,
V0207,DSCF2854_高品質 1080p HD.mp4,備後,木工・工芸,工場全景,6.006,,False,
V0208,DSCF2855_高品質 1080p HD.mp4,備後,繊維・織物,人物・交流・体験,9.009,,False,
V0209,DSCF2856_高品質 1080p HD.mp4,備後,繊維・織物,機械・素材加工,5.005,A,False,糸や線状の素材を扱う機械の近景。反復動作・機械音は要確認
V0210,DSCF2862_高品質 1080p HD.mp4,備後,繊維・織物,機械・素材加工,8.008,,False,
V0211,DSCF2863_高品質 1080p HD.mp4,備後,繊維・織物,機械・工場全景・交流・体験,12.012,,False,
V0212,DSCF2864_高品質 1080p HD.mp4,備後,繊維・織物,機械・工場全景,8.008,,False,
V0213,DSCF2865_高品質 1080p HD.mp4,備後,繊維・織物,人物・機械・交流・体験,8.008,,False,
V0214,DSCF2866_高品質 1080p HD.mp4,備後,繊維・織物,機械・素材加工,9.009,A,False,並ぶ線状素材の寄り。素材の密度と繰り返し
V0215,DSCF2867_高品質 1080p HD.mp4,備後,繊維・織物,機械,4.004,A,False,機械の回転部の寄り。回転と機械音は再生確認
V0216,DSCF2869_高品質 1080p HD.mp4,備後,繊維・織物,機械・素材加工,8.008,A,False,装置の部品が横移動する工程。反復動作の候補
V0217,DSCF2870_高品質 1080p HD.mp4,備後,繊維・織物,機械・交流・体験,15.015,,False,
V0218,DSCF2882_高品質 1080p HD.mp4,備後,木工・家具,機械・手仕事・素材加工,8.008,A,False,加工機と木材、職人の手元が同時に見える寄り
V0219,DSCF2883_高品質 1080p HD.mp4,備後,木工・家具,機械・手仕事・素材加工,16.016,,False,
V0220,DSCF2887_高品質 1080p HD.mp4,備後,木工・家具,手仕事・素材加工,10.01,A,False,木材の曲面を手で磨く寄り。手仕事の触感
V0221,DSCF2888_高品質 1080p HD.mp4,備後,木工・家具,手仕事・素材加工,21.021,,False,
V0222,DSCF2895_高品質 1080p HD.mp4,備後,木工・家具,人物・交流・体験,19.019,,False,
V0223,DSCF2900_高品質 1080p HD.mp4,備後,木工・家具,製品・手仕事,10.01,,False,
V0224,DSCF2901_高品質 1080p HD.mp4,備後,木工・家具,製品・手仕事,15.015,,False,
V0225,DSCF2902_高品質 1080p HD.mp4,備後,木工・家具,手仕事・製品,11.011,A,False,木製部品の接合部を手で確認。構造と精密さ
V0226,DSCF2909_高品質 1080p HD.mp4,備後,木工・家具,人物・製品・交流・体験,4.004,,False,
V0227,DSCF2911_高品質 1080p HD.mp4,備後,木工・家具,人物・製品・交流・体験,9.009,,False,
V0228,DSCF2920_高品質 1080p HD.mp4,備後,木工・家具,手仕事・素材加工,10.01,A,False,曲面の木材を紙状の道具で磨く手元。加工の触感
V0229,DSCF2936_高品質 1080p HD.mp4,備後,木工・家具,工場全景,15.015,,False,
V0230,DSCF2937_高品質 1080p HD.mp4,備後,木工・家具,工場全景,7.007,,False,
V0231,DSCF2940_高品質 1080p HD.mp4,備後,木工・家具,製品,25.025,B,False,完成した椅子の姿。工程から製品へつなぐ候補
V0232,DSCF2959_高品質 1080p HD.mp4,備後,業種要確認,交流・体験,22.022,,False,
V0233,DSCF2960_高品質 1080p HD.mp4,備後,業種要確認,交流・体験,12.012,,False,
V0234,DSCF2972_高品質 1080p HD.mp4,備後,業種要確認,人物・交流・体験,9.009,,False,
V0235,DSCF2973_高品質 1080p HD.mp4,備後,業種要確認,交流・体験,11.011,,False,
V0236,DSCF2974_高品質 1080p HD.mp4,備後,業種要確認,人物・交流・体験,9.009,,False,
V0237,DSCF2977_高品質 1080p HD.mp4,備後,業種要確認,交流・体験,21.021,,False,
V0238,DSCF2990_高品質 1080p HD.mp4,備後,業種要確認,交流・体験,5.005,,False,
V0239,DSCF2997_高品質 1080p HD.mp4,備後,業種要確認,人物・交流・体験,11.011,,False,
V0240,DSCF2998_高品質 1080p HD.mp4,備後,業種要確認,人物・交流・体験,12.012,,False,
V0241,DSCF2999_高品質 1080p HD.mp4,備後,業種要確認,交流・体験,23.023,,False,
V0242,DSCF3006_高品質 1080p HD.mp4,備後,業種要確認,人物・交流・体験,12.012,,False,
V0243,DSCF3007_高品質 1080p HD.mp4,備後,業種要確認,人物・交流・体験,5.005,,False,
V0244,DSCF3012_高品質 1080p HD.mp4,備後,業種要確認,人物・交流・体験,16.016,,False,
